71	Myke Towers	9,667,486,409	4,145,835,762	168	0	28	103	159	20.09.22
72	Charlie Puth	9,585,925,228	231,747,643	109	3	14	58	98	21.09.22
73	Pitbull	9,426,002,918	3,062,823,873	394	1	21	84	216	10.09.22
74	Martin Garrix	9,390,213,325	87,715,051	199	2	19	81	158	17.09.22
75	Sebastian Yatra	9,365,402,828	850,201,743	126	0	30	83	115	19.09.22
76	DaBaby	9,326,324,913	4,757,336,377	157	2	18	83	142	18.09.22
77	21 Savage	9,289,820,129	6,019,152,179	162	0	24	92	133	19.09.22
78	Mac Miller	9,187,372,325	699,621,455	221	0	21	131	205	13.09.22
79	Panic! At The Disco	9,107,446,450	669,606,481	146	1	20	79	129	06.09.22
80	Pop Smoke	9,097,323,859	930,302,921	99	0	19	84	98	06.09.22
81	Cardi B	9,075,552,363	6,168,283,337	70	2	18	54	68	20.09.22
82	Sech	9,011,436,885	2,900,320,709	123	0	25	72	109	31.07.22
83	Lil Wayne	8,970,128,688	14,160,244,567	476	0	19	116	325	17.09.22
84	Olivia Rodrigo	8,963,688,803	1,693,385	37	2	13	25	34	20.09.22
85	Young Thug	8,956,248,071	9,576,540,270	366	0	20	134	220	17.09.22
86	Metallica	8,890,283,866	7,116,668	814	0	16	110	282	19.09.22
87	G-Eazy	8,847,885,490	2,309,356,739	224	1	17	112	207	25.08.22
88	Ellie Goulding	8,826,849,897	639,400,676	167	1	16	70	133	06.09.22
89	Lil Nas X	8,778,149,366	0	34	3	11	31	33	16.09.22
90	Major Lazer	8,758,754,488	614,069,138	269	3	14	69	171	05.09.22
91	Alan Walker	8,727,932,813	1,852,490,942	170	1	18	69	133	01.09.22
92	Wiz Khalifa	8,695,422,254	7,040,015,281	461	1	19	106	321	18.09.22
93	Lil Peep	8,691,721,490	335,277,695	104	0	23	89	104	18.09.22
94	Diplo	8,496,096,848	1,757,002,014	397	0	24	90	219	13.09.22
95	Fall Out Boy	8,473,807,946	38,817,084	199	0	18	96	166	20.09.22
96	Elton John	8,453,517,928	318,527,981	938	1	17	65	271	21.09.22
97	AC/DC	8,283,420,177	0	313	3	10	85	245	19.09.22
98	P!nk	8,254,399,870	664,706,383	227	0	23	83	166	21.09.22
99	John Mayer	8,243,443,329	514,893,335	208	0	20	117	184	16.09.22
100	Logic	8,221,159,539	1,940,369,157	193	1	14	125	183	11.09.22
101	Migos	8,212,730,428	3,413,743,336	283	0	18	88	187	20.09.22
102	Trippie Redd	8,169,854,684	3,237,110,398	197	0	24	127	180	15.09.22
103	Gunna	8,136,453,038	4,669,227,285	178	2	15	109	167	14.09.22
104	Tyga	8,136,081,475	4,144,077,151	303	1	20	104	260	31.07.22
105	James Arthur	8,094,663,482	77,343,574	147	1	14	63	127	18.09.22
106	Little Mix	8,031,810,970	12,410,476	205	0	21	103	159	21.09.22
107	Macklemore	7,934,784,607	83,073,903	103	1	13	63	96	20.09.22
108	ZAYN	7,931,681,470	238,901,756	85	3	16	68	84	20.09.22
109	DJ Snake	7,893,987,604	1,942,695,289	142	2	11	56	103	31.07.22
110	Lauv	7,860,150,086	147,385,883	108	1	21	63	93	12.08.22
111	Kodak Black	7,858,173,795	1,936,671,476	243	0	16	91	227	21.09.22
112	Tyler, The Creator	7,852,572,852	1,592,057,360	154	0	21	93	111	18.09.22
113	Frank Ocean	7,842,180,179	2,342,080,949	45	0	23	45	45	19.09.22
114	A$AP Rocky	7,788,610,912	5,156,511,594	99	0	19	73	93	20.09.22
115	YoungBoy Never Broke Again	7,762,762,379	1,355,024,452	416	0	8	190	356	19.09.22
116	NF	7,715,473,739	135,847,234	81	1	18	81	81	12.09.22
117	Tiësto	7,713,821,346	760,009,949	653	0	16	87	313	21.08.22
118	5 Seconds of Summer	7,679,042,759	523,860,412	166	1	14	99	161	21.09.22
119	A Boogie Wit da Hoodie	7,634,446,872	3,249,718,029	138	0	17	100	133	14.09.22
120	Zedd	7,585,730,125	1,008,114,646	139	3	14	43	99	21.08.22
121	Robin Schulz	7,516,223,652	316,151,922	225	1	15	55	156	21.09.22
122	Romeo Santos	7,485,543,396	1,125,011,362	146	0	21	79	120	16.09.22
123	Green Day	7,403,734,026	536,841	374	0	13	84	307	16.09.22
124	$uicideboy$	7,392,060,042	255,581,637	313	0	13	150	310	18.09.22
125	DJ Khaled	7,384,719,519	188,841,600	186	1	14	70	144	20.09.22
126	Nirvana	7,305,516,064	1,138,923	347	1	14	59	244	21.09.22
127	SZA	7,274,845,271	2,160,662,341	49	2	18	37	48	20.09.22
128	Luis Miguel	7,267,478,981	2,583,720	312	0	17	125	265	16.09.22
129	Metro Boomin	7,262,115,562	209,872,990	118	1	18	72	93	31.07.22
130	BLACKPINK	7,258,093,350	526,857,151	103	0	22	47	103	21.09.22
131	Justin Timberlake	7,231,786,140	2,169,125,586	172	1	13	69	115	20.09.22
132	Bob Marley & The Wailers	7,206,364,367	56,737,031	618	0	13	74	350	29.08.22
133	Machine Gun Kelly	7,175,506,952	1,017,993,010	141	0	14	112	132	15.09.22
134	blackbear	7,107,987,469	1,743,247,445	162	1	14	106	144	22.08.22
135	Black Eyed Peas	7,055,175,439	88,656,205	213	0	13	47	128	18.09.22
136	Anne-Marie	6,995,284,822	797,700,433	136	3	12	44	102	19.09.22
137	Lewis Capaldi	6,958,006,277	1,385	48	2	10	28	44	31.08.22
138	Clean Bandit	6,956,364,284	24,677,721	176	3	10	40	126	31.07.22
139	JAY-Z	6,923,840,435	5,959,218,358	306	0	13	83	238	17.09.22
140	Marília Mendonça	6,909,001,088	1,549,217,519	122	0	23	107	116	20.09.22
141	Zara Larsson	6,878,581,725	510,565,925	85	2	13	45	79	13.09.22
142	Bebe Rexha	6,836,453,644	3,954,204,862	113	2	14	55	92	13.09.22
143	Anitta	6,801,733,116	1,407,362,033	175	0	20	88	162	02.09.22
144	Enrique Iglesias	6,771,955,691	340,979,147	282	0	13	73	181	21.09.22
145	Fleetwood Mac	6,753,161,276	563,244	768	1	11	46	236	13.09.22
146	Pink Floyd	6,732,010,728	0	439	0	13	99	288	20.09.22
147	The Rolling Stones	6,727,427,341	6,784,031	1,073	0	14	66	386	17.09.22
148	The Neighbourhood	6,718,687,991	1,183,878	90	1	12	70	90	12.08.22
149	Britney Spears	6,681,159,921	690,309,468	292	0	19	63	177	21.09.22
150	The Kid LAROI	6,667,881,845	850,607,375	49	1	16	45	47	20.09.22
151	Michael Bublé	6,667,559,320	313,876,033	239	0	18	96	195	12.09.22
152	Guns N' Roses	6,619,994,931	0	139	1	10	59	107	20.09.22
153	Flo Rida	6,555,092,666	1,786,418,102	229	0	11	43	98	31.07.22
154	Camilo	6,519,784,854	887,878,975	49	0	20	39	45	13.09.22
155	Ty Dolla $ign	6,503,653,017	10,647,843,904	191	0	14	78	163	03.09.22
156	Kid Cudi	6,488,863,340	1,505,742,485	160	0	12	91	154	08.09.22
157	Disney	6,480,840,953	819,435,187	529	0	14	102	326	31.07.22
158	Becky G	6,442,851,232	1,302,993,766	110	0	16	58	102	21.09.22
159	Jonas Blue	6,422,049,491	111,388,929	165	0	9	37	103	31.07.22
160	Russ	6,409,448,257	120,435,639	368	0	14	111	263	31.08.22
161	Luis Fonsi	6,388,525,172	444,209,070	187	2	10	40	121	11.08.22
162	2Pac	6,328,173,362	345,066,838	316	0	16	76	237	06.09.22
163	Reik	6,327,803,667	330,177,113	172	0	16	71	145	31.07.22
164	Gorillaz	6,261,755,161	1,332,203	283	0	11	101	199	21.09.22
165	50 Cent	6,248,846,278	2,758,573,236	185	0	14	62	129	16.09.22
166	Childish Gambino	6,247,735,359	604,415,192	86	1	13	64	85	18.08.22
167	Ava Max	6,191,597,218	222,783,418	105	1	15	39	74	21.09.22
168	Jhay Cortez	6,170,553,828	1,249,018,420	82	1	11	50	81	20.08.22
169	Joji	6,166,251,940	724,211,820	52	0	17	43	52	21.09.22
170	Bastille	6,158,728,878	156,539,720	205	2	10	76	157	09.09.22
171	Polo G	6,136,158,071	2,095,079,434	75	0	14	69	75	31.07.22
172	Lorde	6,012,129,665	286,646,668	58	0	19	43	54	21.09.22
173	Usher	5,981,518,153	3,241,074,771	257	0	15	55	162	15.09.22
174	Hozier	5,967,126,876	0	69	1	14	43	66	18.09.22
175	David Bowie	5,960,976,370	35,086,750	1,315	1	12	60	309	13.09.22
176	Banda MS de Sergio Lizárraga	5,924,856,095	5,520,822	216	0	19	99	198	31.07.22
177	Mariah Carey	5,894,150,126	401,406,056	660	1	12	68	254	21.09.22
178	Luke Combs	5,890,199,848	150,384,172	68	0	15	58	67	21.08.22
179	Skrillex	5,881,756,686	1,640,865,351	149	0	14	74	133	31.07.22
180	Christian Nodal	5,835,820,936	409,256,344	69	0	18	56	69	20.08.22
181	Big Sean	5,825,180,005	6,225,894,402	166	0	13	74	128	20.09.22
182	The Killers	5,774,550,053	359,729	213	1	11	68	152	18.09.22
183	Alessia Cara	5,768,256,100	2,748,095,478	138	2	8	41	91	04.09.22
184	Foo Fighters	5,761,240,710	0	237	0	12	76	166	15.09.22
185	Playboi Carti	5,756,121,719	1,679,604,284	82	0	14	64	75	17.09.22
186	French Montana	5,687,956,941	3,407,044,954	672	1	11	58	168	05.08.22
187	Tory Lanez	5,657,531,451	2,622,981,646	256	0	12	91	217	08.09.22
188	Jack Harlow	5,653,905,092	321,831,380	97	1	11	49	94	21.09.22
189	U2	5,622,227,589	303,372,985	522	0	8	81	303	18.09.22
190	Manuel Turizo	5,610,907,877	2,311,637,889	66	0	17	48	65	26.08.22
191	Meek Mill	5,609,538,227	1,900,550,120	440	0	9	93	193	12.09.22
192	Labrinth	5,598,152,866	403,267,734	150	0	14	46	105	20.09.22
193	blink-182	5,568,505,079	66,190,562	185	0	10	94	177	14.09.22
194	Led Zeppelin	5,554,421,214	118,988	241	0	13	66	195	18.09.22
195	Daft Punk	5,551,691,330	3,320,364,189	190	0	12	77	142	24.08.22
196	Radiohead	5,542,698,748	2,210,119	233	0	8	94	201	21.09.22
197	TWICE	5,513,351,760	39,587,994	222	0	14	106	194	20.09.22
198	Jorge & Mateus	5,486,263,204	1,108,375,019	280	0	11	105	262	12.09.22
199	Henrique & Juliano	5,466,963,460	812,748,773	177	0	14	121	170	12.09.22
200	Roddy Ricch	5,446,354,074	3,489,978,704	61	1	15	38	60	20.09.22
201	Elvis Presley	5,442,877,510	5,634,626	1,855	0	11	75	392	03.09.22
202	Meghan Trainor	5,418,874,209	1,025,879,971	141	0	11	54	115	18.09.22
203	Morgan Wallen	5,410,105,641	526,259,183	60	0	18	59	60	21.09.22
204	Paulo Londra	5,408,739,140	119,832,137	37	0	16	34	37	16.09.22
205	John Legend	5,384,405,995	2,403,169,234	249	1	8	66	192	31.07.22
206	Frank Sinatra	5,382,091,415	77,042,747	2,171	0	13	83	344	14.08.22
207	Don Omar	5,374,011,725	1,957,856,299	237	0	13	57	127	08.09.22
208	System Of A Down	5,306,747,245	997,641	83	0	10	69	78	18.08.22
209	Megan Thee Stallion	5,282,711,414	1,659,247,318	131	1	12	54	115	21.09.22
210	Rita Ora	5,257,167,753	709,421,106	133	0	14	40	89	19.09.22
211	The 1975	5,232,430,866	156,055,221	136	0	13	78	133	13.09.22
212	Rae Sremmurd	5,226,974,030	544,047,899	62	0	13	42	61	08.09.22
213	Tame Impala	5,214,042,684	174,098,397	101	1	11	63	87	20.09.22
214	Melanie Martinez	5,200,953,173	5,254,571	58	0	17	42	58	21.09.22
215	Muse	5,181,150,140	6,402,079	253	0	11	90	191	10.09.22
216	Gucci Mane	5,179,422,858	4,905,865,217	2,117	0	5	84	316	17.08.22
217	Jack Johnson	5,176,854,131	39,660,958	190	0	9	83	171	07.09.22
218	The Notorious B.I.G.	5,171,977,853	699,574,957	185	0	12	54	123	31.07.22
219	Troye Sivan	5,103,726,645	873,635,526	105	0	12	54	86	19.09.22
220	Bon Jovi	5,101,338,141	1,335,247	329	1	9	47	192	17.09.22
221	Paramore	5,095,348,178	0	114	0	11	70	104	14.09.22
222	Mumford & Sons	5,088,124,853	18,747,880	121	0	12	67	111	15.09.22
223	Bazzi	5,036,674,851	63,249,651	54	0	12	33	41	21.09.22
224	ABBA	5,004,152,913	146,654	160	0	14	53	140	01.09.22
225	6ix9ine	4,988,907,666	1,117,326,282	57	0	16	35	52	14.09.22
226	Slipknot	4,980,473,881	0	208	0	10	77	181	11.08.22
227	Gusttavo Lima	4,938,141,476	876,355,276	287	0	9	114	233	26.08.22
228	Oasis	4,924,851,582	1,134	237	1	7	49	191	19.09.22
229	Morat	4,919,640,815	436,178,161	74	0	15	64	72	31.08.22
230	Sean Paul	4,910,936,441	3,853,999,824	400	0	10	48	162	31.07.22
231	Felix Jaehn	4,901,374,743	194,535,961	172	1	12	38	101	31.07.22
232	The Lumineers	4,894,719,810	0	86	0	8	52	80	29.08.22
233	Justin Quiles	4,878,976,278	4,310,489,285	163	0	14	69	127	31.07.22
234	Dalex	4,871,872,181	1,036,388,958	129	0	15	44	100	03.09.22
235	Duki	4,869,537,547	937,757,024	147	0	13	76	135	12.09.22
