artist_id,album_id,album_name,album_release
48290,34669917,Dear Future Self (Hands Up) [feat. Wyclef Jean] - Single,2019-09-10
48290,29760814,Lake Effect Kid,2018-08-23
48290,29659959,The Last of the Real Ones (Milk N Cooks Remix) [feat. Princess Nokia] - Single,2018-08-10
48290,29217114,The Last of the Real Ones (feat. MadeinTYO & bülow) [Remix] - Single,2018-06-28
48290,28706545,HOLD ME TIGHT OR DON'T (The Remixes),2018-04-13
48290,28705370,HOLD ME TIGHT OR DON'T (The Remixes),2018-04-13
48290,34481929,Spotify Singles,2018-02-21
48290,25985062,M A N I A,2018-01-19
33124237,54605510,First Draft - Single,2022-09-30
33124237,47437146,HEADLINERS: Trippie Redd,2021-10-15
33124237,46522457,Trip At Knight (Complete Expanded Edition),2021-08-21
33124237,46737334,Trip At Knight (Expanded Edition),2021-08-20
33124237,46712593,Trip At Knight,2021-08-20
33124237,46499718,Trip At Knight,2021-08-20
33124237,46884158,Trip At Knight (Complete Edition),2021-08-20
33124237,46061027,Trip At Knight,2021-08-20
33124237,45487657,Holy Smokes (feat. Lil Uzi Vert) - Single,2021-07-16
33124237,45484490,Holy Smokes (feat. Lil Uzi Vert) - Single,2021-07-16
28849792,33085143,West Side,2019-06-21
28849792,31615849,My Afterlife,2019-02-28
28849792,34555579,"Down To Fuck (feat. YG, Ty Dolla $ign, Jeremih)",2018-08-31
28849792,29840109,"Down To Fuck (feat. YG, Ty Dolla $ign, Jeremih)",2018-08-31
28849792,29807317,"DTF (feat. YG, Ty Dolla $ign, Jeremih)",2018-08-31
28849792,34555581,"Down To Fuck (feat. YG, Ty Dolla $ign, Jeremih)",2018-08-31
28849792,27291436,"Oh I (feat. Jeremih, Young Thug, Sevyn)",2017-10-26
28849792,27201198,Hardwired,2017-10-11
28849792,26941879,Heaven 4 a Gangster,2017-09-22
28849792,26963802,Heaven 4 a Gangster,2017-09-13
