name,isrc,album,artists
Dancing in the Moonlight,GBBBL9902165,Onka's Big Moka,Toploader
Put Your Records On,GBAYE0501671,Corinne Bailey Rae,Corinne Bailey Rae
Disturbia,USUM70814476,Good Girl Gone Bad: Reloaded,Rihanna
Sk8er Boi,USAR10200229,Let Go,Avril Lavigne
Boulevard of Broken Dreams,USRE10400985,Greatest Hits: God's Favorite Band,Green Day
Electric Feel,USSM10702131,Oracular Spectacular,MGMT
Drop It Like It's Hot,USMC10400640,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg;Pharrell Williams
Kiss Me Thru The Phone,USUM70848200,iSouljaBoyTellem,Soulja Boy;Sammie
Use Somebody,USRC10800301,Only By The Night,Kings of Leon
You Get Me So High,USSM11707131,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood
Black Skinhead,USUM71307719,Yeezus,Kanye West
Before You Go,DEUM71905868,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
Dandelions,USSM11703468,Safe Haven,Ruth B.
Sex, Drugs, Etc.,TCACS1642138,Chit Chat,Beach Weather
Watermelon Sugar,USSM11912587,Fine Line,Harry Styles
Atlantis,GBARL1500316,Tell Me It's Real (Expanded Edition),Seafret
Redbone,USYAH1600107,"Awaken, My Love!",Childish Gambino
Dark Red,GBKPL1778015,Dark Red,Steve Lacy
rockstar (feat. 21 Savage),USUM71710087,beerbongs & bentleys,Post Malone;21 Savage
Ni**as In Paris,USUM71111621,Watch The Throne (Deluxe),JAY-Z;Kanye West
Let Me Down Slowly,USAT21802284,Narrated For You,Alec Benjamin
7 rings,USUM71900110,thank u, next,Ariana Grande
I Was Never There,USUG11800570,My Dear Melancholy,,The Weeknd;Gesaffelstein
Someone You Loved,DEUM71807062,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
Golden,USSM11912586,Fine Line,Harry Styles
when the party's over,USUM71815958,WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?,Billie Eilish
Cruel Summer,USUG11901472,Lover,Taylor Swift
Beggin',ITB001700846,Chosen,Måneskin
That's What I Like,USAT21602948,24K Magic,Bruno Mars
The Nights,CH3131340464,The Days / Nights,Avicii
This Side of Paradise,QMW9F1100003,Color,Coyote Theory
YKWIM?,CAGOO1966522,Bipolar,Yot Club
The Hills,USUG11500737,Beauty Behind The Madness,The Weeknd
Let Me Love You,QMZSY1600015,Encore,DJ Snake;Justin Bieber
Can I Call You Tonight?,TCADL1825079,Fuzzybrain,Dayglow
Lover,USUG11901473,Lover,Taylor Swift
Sugar,USUM71410340,V,Maroon 5
Whatever It Takes,USUM71703515,Evolve,Imagine Dragons
Bored,USUM71702756,Bored,Billie Eilish
we fell in love in october,GBKPL1828677,we fell in love in october / forget her,girl in red
Story of My Life,GBHMU1300210,Midnight Memories (Deluxe),One Direction
Ride It,GBCEN1900047,Ride It,Regard
Washing Machine Heart,USJ5G1815012,Be the Cowboy,Mitski
Softcore,USSM11800523,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood
Often,USUG11401323,Beauty Behind The Madness,The Weeknd
Fuck Love (feat. Trippie Redd),USUYG1156898,17,XXXTENTACION;Trippie Redd
Always Forever,USSM11303912,Static,Cults
Thunder,USUM71704167,Evolve,Imagine Dragons
Shape of You,GBAHS1600463,÷ (Deluxe),Ed Sheeran
Les,USYAH1100353,Camp,Childish Gambino
House of Memories,USAT21503701,Death of a Bachelor,Panic! At The Disco
LA CANCIÓN,USUM71911618,OASIS,J Balvin;Bad Bunny
Formula,USQX91902497,Euphoria (Original Score from the HBO Series),Labrinth
Blinding Lights,USUG11904206,After Hours,The Weeknd
Runaway,USUM71027402,My Beautiful Dark Twisted Fantasy,Kanye West;Pusha T
All of Me,USSM11303954,Love In The Future (Expanded Edition),John Legend
20 Min,USAT21704166,Luv Is Rage 2 (Deluxe),Lil Uzi Vert
A Sky Full of Stars,GBAYE1400217,Ghost Stories,Coldplay
Me and Your Mama,USYAH1600102,"Awaken, My Love!",Childish Gambino
