Query,Average Precision,Precision at 10
1,1.0,1.0
2,0.4014285714285714,0.4
3,0.69108250788238,0.7
4,0.8414192343604107,0.9
5,0.9179864117364116,0.9
6,0.0,0.0
7,0.7380952380952381,0.2
8,1.0,0.9
