Query,Average Precision,Precision at 10
1,1.0,1.0
2,0.5953962703962704,0.4
3,0.6522653628422859,0.6
4,0.6493221647633413,0.8
5,0.8536875823451913,0.8
6,0.6530905473591776,0.7
7,0.8555555555555555,0.4
8,1.0,0.9
