Query,Average Precision,Precision at 10
1,1.0,1.0
2,0.5953962703962704,0.4
3,0.6828675856307435,0.7
4,0.6562170060331824,0.8
5,0.8692441494644012,0.8
6,0.6530905473591776,0.7
7,0.7333333333333334,0.2
8,1.0,0.9
