artist;album;album_release_date;album_ranking;n_tracks;track;track_duration (s)
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;El Cuarto de Tula;445
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Pueblo Nuevo;365
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Dos Gardenias;183
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;¿Y Tú Qué Has Hecho?;193
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Veinte Años;211
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;El Carretero;209
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Candela;328
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Amor de Loca Juventud;202
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Orgullecida;198
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Murmullo;230
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;Buena Vista Social Club;291
Buena Vista Social Club;Buena Vista Social Club;1997-06-23;6;14;La Bayamesa;175
Café Tacvba;Re;1994-07-20;7;20;El aparato;198
Café Tacvba;Re;1994-07-20;7;20;La ingrata;212
Café Tacvba;Re;1994-07-20;7;20;El ciclón;175
Café Tacvba;Re;1994-07-20;7;20;El borrego;128
Café Tacvba;Re;1994-07-20;7;20;Esa noche;206
Café Tacvba;Re;1994-07-20;7;20;24 horas;139
Café Tacvba;Re;1994-07-20;7;20;Ixtepec;200
Café Tacvba;Re;1994-07-20;7;20;Trópico de cáncer;279
Café Tacvba;Re;1994-07-20;7;20;El metro;226
Café Tacvba;Re;1994-07-20;7;20;El fin de la infancia;139
Café Tacvba;Re;1994-07-20;7;20;Madrugal;68
Café Tacvba;Re;1994-07-20;7;20;Pez;139
Café Tacvba;Re;1994-07-20;7;20;Verde;115
Café Tacvba;Re;1994-07-20;7;20;La negrita;185
Café Tacvba;Re;1994-07-20;7;20;El Tlatoani del barrio;207
Café Tacvba;Re;1994-07-20;7;20;Las flores;135
